,Date,Response type,Response time
167,3.0,Latency_Time,346.486
168,4.0,Latency_Time,337.328
169,5.0,Latency_Time,339.277
170,6.0,Latency_Time,346.119
171,7.0,Latency_Time,350.315
172,8.0,Latency_Time,350.195
173,9.0,Latency_Time,344.776
174,10.0,Latency_Time,330.139
175,11.0,Latency_Time,333.604
176,12.0,Latency_Time,332.253
177,13.0,Latency_Time,340.891
178,14.0,Latency_Time,328.194
179,15.0,Latency_Time,341.098
180,16.0,Latency_Time,325.354
181,17.0,Latency_Time,333.571
182,18.0,Latency_Time,332.723
183,19.0,Latency_Time,340.405
184,20.0,Latency_Time,338.402
185,21.0,Latency_Time,333.888
186,22.0,Latency_Time,341.602
187,23.0,Latency_Time,337.015
188,24.0,Latency_Time,320.169
189,25.0,Latency_Time,325.484
190,26.0,Latency_Time,337.364
191,27.0,Latency_Time,326.357
192,28.0,Latency_Time,325.969
193,29.0,Latency_Time,344.143
194,30.0,Latency_Time,322.969
195,31.0,Latency_Time,324.521
196,32.0,Latency_Time,305.499
197,33.0,Latency_Time,318.512
198,34.0,Latency_Time,323.308
199,35.0,Latency_Time,325.048
200,36.0,Latency_Time,313.816
201,37.0,Latency_Time,321.15
202,38.0,Latency_Time,318.79
203,39.0,Latency_Time,311.248
204,40.0,Latency_Time,342.171
205,41.0,Latency_Time,323.842
206,42.0,Latency_Time,300.672
207,43.0,Latency_Time,323.711
208,44.0,Latency_Time,314.661
209,45.0,Latency_Time,307.652
210,46.0,Latency_Time,313.289
211,47.0,Latency_Time,317.261
212,48.0,Latency_Time,312.282
213,49.0,Latency_Time,313.307
214,50.0,Latency_Time,315.491
215,51.0,Latency_Time,311.023
216,52.0,Latency_Time,298.06
217,53.0,Latency_Time,302.984
218,54.0,Latency_Time,296.525
219,55.0,Latency_Time,315.162
220,56.0,Latency_Time,312.559
221,57.0,Latency_Time,319.567
222,58.0,Latency_Time,302.698
223,59.0,Latency_Time,287.37
224,60.0,Latency_Time,302.114
225,61.0,Latency_Time,308.418
226,63.0,Latency_Time,307.414
227,64.0,Latency_Time,305.596
228,65.0,Latency_Time,300.81
229,66.0,Latency_Time,320.636
230,67.0,Latency_Time,300.272
231,68.0,Latency_Time,295.369
232,69.0,Latency_Time,299.935
233,70.0,Latency_Time,287.829
234,71.0,Latency_Time,298.417
235,72.0,Latency_Time,282.853
236,73.0,Latency_Time,298.616
237,74.0,Latency_Time,284.616
238,75.0,Latency_Time,301.622
239,76.0,Latency_Time,309.489
240,77.0,Latency_Time,313.383
241,78.0,Latency_Time,312.044
242,79.0,Latency_Time,296.96
243,80.0,Latency_Time,278.621
244,81.0,Latency_Time,363.664
245,82.0,Latency_Time,291.211
246,83.0,Latency_Time,291.342
247,84.0,Latency_Time,303.78
248,85.0,Latency_Time,298.545
249,86.0,Latency_Time,313.654
250,87.0,Latency_Time,283.638
251,88.0,Latency_Time,281.998
252,89.0,Latency_Time,308.094
253,90.0,Latency_Time,299.362
254,91.0,Latency_Time,313.967
255,92.0,Latency_Time,329.166
256,93.0,Latency_Time,280.163
257,94.0,Latency_Time,294.868
258,95.0,Latency_Time,266.053
